ability_slot,ability_name,ability_text,character_id
ultimate,Ability 3,"Inspire  Clear all negative effects from self. Clear 5 negative effects from all REBIRTH and OUT OF TIME allies.

Gain Taunt for 2 turns. Apply Defense Up for 2 turns and Immunity for 2 turns to self and all allies.

Grant 1 Ability Energy to 1-2 random AVENGER allies.
Grant 1 Ability Energy to 1-3 random allies.
In RAIDS, grant 1 Ability Energy to 4 random REBIRTH allies. Level Required: 68  t4 confidence 60.5%",CaptainAmerica
passive,Ability 4,"Shield Throw  Attack primary target for 320% damage + clear 3 positive effects. Chain to 3 additional targets for 270% damage + clear 3 positive effects.

If this character has 1 or more WAVE I - AVENGER, REBIRTH, or OUT OF TIME allies, Fill Speed Bar for self by +60%.
If this character has 3 or more REBIRTH or OUT OF TIME allies, gain +5,000% Extra Focus on all attacks.

Dodge breaks this Chain. In RAIDS and WAR, if this character has 3 or more REBIRTH or OUT OF TIME allies, this attack cannot be dodged. Level Required: 70  t4 confidence 52.5%",CaptainAmerica
basic,Ability 1,"Taking up the mantle of Captain America, Sam Wilson uses his legendary shield to protect and inspire others, granting bonuses to Avenger and Skill allies.",SamWilson
special,Ability 2,"Assist/Counter Info Attack primary target for 205% damage + 17% Piercing.Gain +1 Deflect, up to a maximum of 5.",SamWilson
ultimate,Ability 3,"Soaring Shield Bash  Attack primary target for 340% damage + clear 1 positive effect.
Bonus Attack for 250% damage.

Gain +1 Deflect, up to a maximum of 5. Level Required: 65  t4 confidence 54.5%",SamWilson
passive,Ability 4,"Stars and Stripes  Gain Taunt for 2 turns.
Gain +3 Deflect and +3 Counter, up to a maximum of 5.

Apply Defense Up to self and all allies.
Apply Speed Up to self and all LIBERTY, AVENGER, and SKILL allies.

Generate 1 Ability Energy for 2 random non-summoned allies.

Generate 1 Ability Energy for 2-3 random non-summoned LIBERTY or SKILL allies.

Gain an assist from a random non-summoned SKILL ally. Level Required: 68  t4 confidence 53.8%",SamWilson
basic,Ability 1,A tanky Captain America generates ability energy and applies buffs to his team while rallying them to perform devastating assists.,CaptainAmericaWW2
special,Ability 2,Assist/Counter Info Attack Primary target for 230% damage + 17% Piercing + apply Slow for 2 turns.,CaptainAmericaWW2
ultimate,Ability 3,"American Iron  Attack Primary target for 300% damage + apply Slow for 2 turns.

Gain an Assist from a random Bucky Barnes ally. Level Required: 65  t4 confidence 31.6%",CaptainAmericaWW2
passive,Ability 4,"Brothers in Arms  Flip all negative effects to positive effects for self and all INVADER allies.

Apply 2 Deflect to self and all allies.

Generate 1 Ability Energy for all INVADER allies.
Gain an assist from 2 random INVADER allies. Level Required: 68  t4 confidence 33.3%",CaptainAmericaWW2
basic,Ability 1,"With mystical abilities granted to him by Merlin, Brian Braddock channels his self-confidence and multiversal energy to protect the British Isles and his allies.",CaptainBritain
special,Ability 2,"Avalon Strike  Attack primary target for 350% damage + clear all positive effects. If primary target does not have Barrier, attack for 450% damage, instead.

Apply 2 Deflect and Defense Up for 2 turns to self and all HERO allies. Level Required: 75  t4 confidence 75.1%",CaptainBritain
ultimate,Ability 3,"British Brawl  Attack primary target for 380% damage + apply +1 Offense Down, up to a maximum of 3, and Stun for 1 turn.

Rebound Chain to 4 adjacent targets for 380% damage + apply +1 Offense Down, up to a maximum of 3.

Apply Defense Up and Immunity to self and all ILLUMINATI allies.

If this character's Health is above 50%, gain Taunt.
If this character's Health is below 50%, apply +1 Speed Up, up to a maximum of 3, to all HERO SUPPORT allies.

In CRUCIBLE:
 > Clear Revive Once from primary and each secondary target. This action gains +1,500% Extra Focus.
 > If this character has 2 or more ILLUMINATI allies, apply Trauma for 2 turns to the primary target. Level Required: 78  t4 confidence 69.1%",CaptainBritain
passive,Ability 4,"Tea Time Throwdown  Attack primary target for 600% damage + apply Stun for 1 turn, Disrupted for 1 turn, and Trauma for 2 turns.

If this character's Health is above 50%, gain Taunt for 1 turns and Immunity for 2 turns.

Clear all negative effects on this character.

In CRUCIBLE:
 > On DEFENSE, instead, attack the BIO BRAWLER with the highest Damage, ignoring Taunt and Stealth.
 > If this character's Health is above 50%, apply Immunity for 2 turns to self and all HERO allies.

This attack is Unavoidable and cannot be blocked. Level Required: 80  t4 confidence 70.1%",CaptainBritain
basic,Ability 1,"When Steve Rogers was injured before he could take the Super Soldier Serum, Agent Peggy Carter took his place, becoming a sentinel of liberty and healer of the Project Rebirth team.",CaptainCarter
special,Ability 2,"Assist/Counter Info Attack primary target for 205% damage + 17% Piercing.
Apply Regeneration to the most injured ally. If that ally is REBIRTH, apply 2 Regeneration for 2 turns instead.",CaptainCarter
ultimate,Ability 3,"A Proper Bash  Attack primary target for 280% damage. Chain to 1 adjacent target for 230% damage.
Apply Regeneration to the most injured ally. If that ally is REBIRTH or OUT OF TIME, apply 2 Regeneration for 2 turns instead. Level Required: 65  t4 confidence 43.4%",CaptainCarter
passive,Ability 4,"Acrobatic Justice  Gain 3 Deflect, 1 Counter, and 1 Deathproof.
In RAIDS, apply 3 Deflect, 1 Counter, and 1 Deathproof to all REBIRTH allies.
In WAR, apply 3 Deflect, 1 Counter, and 1 Deathproof to all OUT OF TIME allies.

Heal self and all REBIRTH and OUT OF TIME allies for 20% of this character's Max Health.
Revive a dead REBIRTH ally with 60% base Health.
In WAR, instead Revive a dead REBIRTH or OUT OF TIME ally.
If there are no REBIRTH allies to revive, extend all positive effects by +1, up to a maximum of 3, on all REBIRTH allies.
In WAR, if there are no REBIRTH or OUT OF TIME allies to revive, extend all positive effects by +1, up to a maximum of 3, on all REBIRTH and OUT OF TIME allies.

Attack primary target for 450% damage.

In WAR, this attack cannot be counterattacked. Level Required: 68  t4 confidence 46.1%",CaptainCarter
basic,Ability 1,A powerful cosmic soldier who breaks down the defenses of multiple foes and gains overwhelming power in Binary form.,CaptainMarvel
special,Ability 2,"Princess Sparkle Fist  Attack primary target for 320% damage. 50% chance to Chain to 1 adjacent target for 220% damage.

If not in Binary, gain +1 Charged, up to a maximum of 5. If in Binary, lose 1 Charged. On losing all Charged, end Binary.

Counterattack breaks this Chain. Level Required: 65  t4 confidence 47.8%",CaptainMarvel
ultimate,Ability 3,"Warbird  Attack primary target for 450% damage + clear all positive effects.

If not in Binary, gain +1 Charged, up to a maximum of 5. If in Binary, lose 1 Charged. On losing all Charged, end Binary.

On WAR OFFENSE, fill Speed Bar for self and all A-FORCE and SECRET DEFENDER allies by 20%.

This attack gains +1,000% Extra Focus. Level Required: 68  t4 confidence 40.4%",CaptainMarvel
passive,Ability 4,"Binary  Gain Binary. Clear all negative effects from self. Attack primary target for 640% damage.

This attack cannot be dodged. Level Required: 70  t4 confidence 45.1%",CaptainMarvel
basic,Ability 1,"An insane brawler that viciously tears through foes with negative effects, attacking more frequently as their health decreases.",Carnage
special,Ability 2,"Cleave  Attack primary target for 280% damage. If the primary target has a negative effect, Chain to 1-2 adjacent targets for 90% damage + spread 2 negative effects from the primary target to secondary targets.

This will not spread Stun.
Counterattack breaks this Chain. Level Required: 65  t4 confidence 41.4%",Carnage
ultimate,Ability 3,"Slaughter  Attack primary target for 420% damage + 100% additional damage per negative effect. Remove all negative effects from the primary target. Attack all adjacent targets for 250% damage.

In RAIDS:
 > Do not remove any negative effects from the primary target.
 > Attack all adjacent targets for 420% damage instead. Level Required: 68  t4 confidence 34.6%",Carnage
passive,Ability 4,"Absolute Carnage  If the primary target is above 50% Health:
 > Apply Disrupted for 2 turns and Bleed for 2 turns.

If the primary target is below 50% Health:
> Apply Offense Down for 2 turns, Defense Down for 2 turns, and Slow for 2 turns.
 > Gain Offense Up for 2 turns, Defense Up for 2 turns, and Speed Up for 2 turns.

Attack primary target for 500% Piercing + apply an additional 2 Bleed for 2 turns.

This attack cannot be dodged. Level Required: 70  t4 confidence 43.7%",Carnage
basic,Ability 1,"A living conduit to the Darkforce Dimension, Cloak drains the health and offensive power of vulnerable enemies.",Cloak
special,Ability 2,"Into Darkness  Apply Assist Now to 1 random Dagger ally.

Attack primary target for 300% damage + apply Offense Down. Level Required: 65  t4 confidence 45.3%",Cloak
ultimate,Ability 3,"Umbral Embrace  Clear all positive effects from primary target.
Attack primary target for 300% damage + apply Slow for 2 turns + Defense Down for 2 turns + Offense Down for 2 turns.
Gain assist at +50% Damage from 1 random Dagger ally. Level Required: 68  t4 confidence 51.6%",Cloak
passive,Ability 4,"Shadow Assault  Attack all enemies for 280% damage + apply 3 random negative effects from this list: Blind, Defense Down, Disrupted, Offense Down, Slow.
Apply +1 Vulnerable, up to a maximum of 5 to all enemies.

If Dagger is an active ally, additionally:
 > +380% Piercing to all enemies.
 > Apply +1 Offense Down, up to a maximum of 5 to all enemies. Level Required: 70  t4 confidence 58.0%",Cloak
basic,Ability 1,"Colleen Wing is the Heroes for Hire Brawler, who deflects powerful attacks and counters with her lightning-fast katana.",ColleenWing
special,Ability 2,"Assist/Counter Info Attack primary target for 241% damage + 17% Piercing + apply 2 Bleed.On WAR DEFENSE, apply 3 Bleed instead.If Misty Knight is an ally, this attack cannot be dodged.",ColleenWing
ultimate,Ability 3,"Katana Slash  Attack primary target for 330% damage + apply 2 Bleed.

On WAR DEFENSE, when this character performs a Counterattack or Assist, apply 3 Bleed instead.

If Misty Knight is an ally, this attack cannot be dodged. Level Required: 65  t4 confidence 46.5%",ColleenWing
passive,Ability 4,"Fearsome Strikes  Attack primary target for 400% damage + apply 4 Bleed.
This attack gains +30% piercing for each HEROES FOR HIRE ally.
Gain 3 Deflect.

On WAR DEFENSE, this attack targets the enemy with the highest damage instead of the primary target, ignoring Taunt and Stealth and gains +1,000% Extra Focus.

If Misty Knight is an ally, this attack cannot be dodged. Level Required: 68  t4 confidence 42.4%",ColleenWing
basic,Ability 1,Colossus uses his organic steel skin to protect the X-Men and harm enemies who attack him.,Colossus
special,Ability 2,"Ringdinger  Attack primary target for 340% damage + apply Offense Down for 2 turns.

If Kitty Pryde is an ally:
 > Gain +50% Damage for this attack.
 > Apply Defense Down for 2 turns and Slow for 2 turns.

Gain +1,000% Extra Focus for this attack. Level Required: 65  t4 confidence 30.2%",Colossus
ultimate,Ability 3,"Altruism  Gain Taunt for 2 turns, 2 Counter, and Defense Up for 2 turns.
Apply 2 Deflect to Self and all allies.

Apply 1 Counter and Defense Up for 2 turns to all X-MEN allies. Level Required: 68  t4 confidence 20.2%",Colossus
passive,Ability 4,"Enduring Protection  Prolong the duration of all positive effects on self by +3, up to a maximum of 5.
Prolong the duration of all positive effects on all X-MEN allies by +1, up to a maximum of 5.

Gain 2 Deathproof.
Gain +2 Charged, up to a maximum of 5.

Call a random Kitty Pryde ally to attack the primary target. That Kitty Pryde ally gains +50% Damage for this attack.
If Kitty Pryde is not an ally, call a random X-MEN ally to attack the primary target instead. Level Required: 70  t4 confidence 25.6%",Colossus
basic,Ability 1,Corvus Glaive uses Stealth and Piercing to infiltrate and eliminate the Black Order's enemies.,CorvusGlaive
special,Ability 2,"Shadow Slash  Attack primary target for 240% Piercing + clear 2 positive effects. Gain an Assist from an ally Proxima Midnight.

This attack cannot be blocked. If Proxima Midnight is an ally, this attack cannot be dodged. Level Required: 65  t4 confidence 40.5%",CorvusGlaive
ultimate,Ability 3,"Bloodletting  Attack the most injured enemy for 700% Piercing, ignoring Taunt and Stealth.

Gain an Assist from an ally Proxima Midnight. Level Required: 68  t4 confidence 22.8%",CorvusGlaive
passive,Ability 4,"Grim Glaive  Attack primary target for 500% Piercing damage. During Stealth, this ability deals double damage against the primary target if they have Defense Up. Attack all adjacent targets for 500% Piercing.

Clear all Stun from all COSMIC VILLAIN allies.

Gain an Assist from an ally Proxima Midnight. Level Required: 70  t4 confidence 24.9%",CorvusGlaive
basic,Ability 1,"Spirit of Vengeance, Herald of Galactus, and intergalactic biker, Frank Castle rides across the universe seeking a Thanos who turned his Earth into a wasteland.",CosmicGhostRider
special,Ability 2,"Cosmic Whiplash  Attack primary and adjacent targets for 220% damage + apply Bleed.
Damage is increased by 25% per positive effect on primary target.

In WAR and this character is not at full energy:
 > If the primary target is a CONTROLLER, apply Ability Block to primary target.
 > Generate 1 Ability Energy for this character and all OUT OF TIME allies who were not at full energy on start of this turn.

This attack cannot be dodged. Level Required: 65  t4 confidence 39.0%",CosmicGhostRider
ultimate,Ability 3,"Vengeance Slide  Attack all enemies for 425% damage.
Damage is increased by 25% per positive effect on primary target.

Flip 2 positive effects into negative effects on all enemies. Flip all positive effects on all PROTECTOR enemies instead.
Apply Defense Down and Heal Block to all enemies.

Apply Stun to the enemy PROTECTOR with the highest Speed, ignoring Taunt and Stealth. If that enemy PROTECTOR has Defense Down, apply Trauma.

Clear all Battlefield Effects on the allied side.

This attack gains 1,000% Extra Focus against PROTECTOR enemies and cannot be dodged or counterattacked. Level Required: 68  t4 confidence 40.2%",CosmicGhostRider
passive,Ability 4,"Intergalactic Punishment  Clear all Barrier on primary target.
Attack primary target for 500% Piercing.
Damage is increased by 25% per positive effect on primary target.

Apply Stun and Trauma to primary target.

Clear all Battlefield Effects on the enemy side.

This attack ignores Defense Up and cannot be blocked.
In WAR, this attack cannot be dodged or counterattacked. Level Required: 70  t4 confidence 43.8%",CosmicGhostRider
basic,Ability 1,"A once ordinary dog that gained powers from cosmic rays and became an animal astronaut, Cosmo proves herself to be a Commander's best friend by clearing enemy buffs and ally debuffs.",Cosmo
special,Ability 2,"Ruff 'em Up  Clear 2 negative effects from self.
Attack primary target for 360% damage + clear 2 positive effects.

50% chance to revive a dead Korg ally with 10% Max Health. In WAR, always revive a dead Korg ally with 10% Max Health. Level Required: 65  t4 confidence 29.2%",Cosmo
ultimate,Ability 3,"Go Fetch  Attack primary and adjacent targets for 400% damage + clear all positive effects.

Clear 2 Bleed and 2 random negative effects from self and all allies.

Heal the most injured ally for 20% of this character's Max Health.

Apply +1 Deflect, up to a maximum of 5, to self and all KNOWHERE allies.

In WAR:
 > Gain +1,000% Extra Focus for this attack.
 > This attack is Unavoidable. Level Required: 68  t4 confidence 31.1%",Cosmo
passive,Ability 4,"Zoomies!  Fill this character's Speed Bar by 5% + 5% per KNOWHERE ally.

Clear all negative effects from self and all allies.
Clear all positive effects from all enemies.

Heal self and all allies for 25% of this character's Max Health.
Barrier self and all allies for 10% of this character's Max Health.

In WAR:
 > Apply +1 Safeguard to self and all KNOWHERE allies.
 > Generate 1 Ability Energy for self and all KNOWHERE allies. Level Required: 70  t4 confidence 37.2%",Cosmo
basic,Ability 1,"A vengeful, die hard bruiser with a devastating explosion attack.",Crossbones
special,Ability 2,Piston Punch  Attack primary target for 200% damage. 75% chance of a Bonus attack for 150% damage and apply Offense Down. Level Required: 65  t4 confidence 25.2%,Crossbones
ultimate,Ability 3,"Wrath  Gain Taunt + 2-3 Counter. Heal self for 20% of Max Health.
If Baron Zemo is an ally, Heal self for 30% of Max Health instead. Level Required: 68  t4 confidence 12.4%",Crossbones
passive,Ability 4,"Detonate  Gain 2 Deathproof, then explode for 480% damage to self and all enemies.

This attack cannot miss (though it can be dodged).

If Baron Zemo is an ally, gain Defense Up as well. Level Required: 70  t4 confidence 16.0%",Crossbones
basic,Ability 1,"A member of the Inhuman royal family, Crystal's mastery of the elements makes her a versatile Blaster.",Crystal
special,Ability 2,Fire and Ice  Attack primary target for 200% damage + apply Bleed. Bonus Attack for 120% damage + apply Slow for 2 turns. Level Required: 65  t4 confidence 18.6%,Crystal
ultimate,Ability 3,"Rocknado  Attack all enemies for 75% Piercing.

Repeat this attack 3 additional times. Level Required: 68  t4 confidence 9.1%",Crystal
passive,Ability 4,"Coldsnap  Attack all enemies for 350% damage. If an enemy has Slow, they take 500% damage instead.

Apply Stun to all summoned enemies. Level Required: 70  t4 confidence 11.0%",Crystal
basic,Ability 1,Cull Obsidian is a Protector who guards the Black Order and retaliates against those who would defy Thanos.,CullObsidian
special,Ability 2,Devastating Cleave  Attack primary and adjacent targets for 300% damage. Level Required: 65  t4 confidence 34.9%,CullObsidian
ultimate,Ability 3,"Obsidian Guard  Clear 2 negative effects from self. If a LEGENDARY VILLAIN is an ally, clear all negative effects instead.
Gain Taunt for 2 turns + Defense Up for 2 turns + Deathproof.
Heal for 20% of this character's Max Health. Level Required: 68  t4 confidence 27.4%",CullObsidian
passive,Ability 4,"Culling the Weak  Attack primary target for 550% damage + 25% additional damage per Deathproof on self.

Transfer all positive effects on primary target to self. Level Required: 70  t4 confidence 31.8%",CullObsidian
basic,Ability 1,Cyclops grants his teammates extra attacks and assails his enemies with optic blasts.,Cyclops
special,Ability 2,"Assist/Counter Info Attack primary target for 220% damage + 17% Piercing + 100% chance to apply Defense Down.If this character has 1 or more X-MEN allies, always apply Defense Down.",Cyclops
ultimate,Ability 3,"Optic Blast  Attack primary target for 300% damage + apply Defense Down.

If this character has 1 or more X-MEN allies, apply Slow to primary target. Level Required: 65  t4 confidence 42.1%",Cyclops
passive,Ability 4,"To Me!  Apply Taunt to the 2 most injured non-summoned non-primary target enemies, ignoring Stealth. Call 2 random allies to each attack one of the previous enemies.

Attack primary target for 350% damage.

Apply Defense Up and Regeneration to the 3 most injured X-MEN allies or self.
Apply Defense Up and Deflect to the 3 highest Health X-TREME X-MEN allies or self.

In RAIDS, Barrier the 3 most injured X-MEN allies or self for 20% of this character's Max Health.

This attack cannot be counterattacked. Level Required: 68  t4 confidence 47.4%",Cyclops
basic,Ability 1,Teenage runaway Dagger uses her Lightforce powers to generate powerful daggers that damage enemies and heal her allies.,Dagger
special,Ability 2,Assist/Counter Info Attack primary target for 175% Piercing damage + apply 2 Bleed.,Dagger
ultimate,Ability 3,"Piercing Light  Attack primary target for 250% Piercing + apply 2 Bleed.
Apply 2 Regeneration to the 2 most injured allies or self.

Apply Assist Now to random Cloak ally. Level Required: 65  t4 confidence 56.1%",Dagger
passive,Ability 4,"Pique  Attack primary target for 320% Piercing + clear all positive effects. Chain to 4 adjacent targets for 290% Piercing + On Crit, clear 3 random positive effects.
Counterattack breaks this Chain.

Clear Heal Block from all MYSTIC HERO and NEW WARRIOR allies.
Heal all allies for 20% of this character's Max Health. Level Required: 68  t4 confidence 52.7%",Dagger
basic,Ability 1,"Daimon Hellstrom, a half-human, half-demon, wielding his Netheranium Trident to channel Soulfire to burn away his enemies buffs and strip away their defenses.",DaimonHellstrom
special,Ability 2,"Soul Piercer  Attack primary target for 200% Piercing.
Chain to 1 adjacent target for 200% Piercing.

Gain Offense Up.

Apply Assist Now to a random Hellcat ally. Level Required: 65  t4 confidence 53.0%",DaimonHellstrom
ultimate,Ability 3,"Beckoning Inferno  Clear Barrier on all enemies.

Attack all enemies for 300% Piercing + 10% of each target's Max Health.

Clear all Battlefield Effects on the allied side. Level Required: 68  t4 confidence 60.6%",DaimonHellstrom
passive,Ability 4,"Hellstorm  Flip Offense Down on self.

Attack all enemies for 400% Piercing.
On Kill, repeat this attack.

In WAR:
 > If no character has completed a turn this match, this character has 3 BRIMSTONE allies, and does not have Exhausted, reduce the duration of all positive effects by 2 to all enemies.
 > Clear Revive Once from all enemies.
 > Apply Ability Block to all SUPPORT and CONTROLLER enemies.
 > This attack gains 1,000% Extra Focus against SUPPORT and CONTROLLER enemies.

Apply Disrupted and Trauma to all enemies.

This attack ignores Defense Up.
In WAR, this attack cannot be counterattacked, dodged, or blocked. Level Required: 70  t4 confidence 61.3%",DaimonHellstrom
basic,Ability 1,"After years of abuse, mistrust, and manipulation by his kidnappers, the son of Wolverine uses mutant senses, healing factor, and claws to viciously hunt down his enemies.",Daken
special,Ability 2,"Claw and Fang  Attack primary target for 275% damage + Chain to 2 adjacent targets for 275% damage + flip Stealth.

This attack can Chain to Stealth targets and cannot be blocked. Level Required: 65  t4 confidence 21.3%",Daken
ultimate,Ability 3,"Can't Run, Can't Hide  Attack primary target for 300% Piercing.
Chain to 4 adjacent targets for 300% Piercing. This attack can Chain to Stealth targets.
Flip 3 random positive effects into negative effects + apply 2 Bleed for 1 turn and Slow for 2 turns to each target.

Bonus Attack the enemy with the highest Damage, ignoring Taunt and Stealth, for 300% Piercing + flip all positive effects into negative effects + apply 2 Bleed for 1 turn and Slow for 2 turns. If that target had Stealth before the initial attack, apply Ability Block for 1 turn, Heal Block for 2 turns, and Trauma for 2 turns to that target.

In WAR, Bonus Attack the enemy SUPPORT with the highest Damage, ignoring Taunt and Stealth, for 300% Piercing + flip all positive effects into negative effects + apply Ability Block for 1 turn, 2 Bleed for 1 turn, Slow for 2 turns, Heal Block for 2 turns, and Trauma for 2 turns.

Gain Immunity.

This attack gains +25% Extra Damage against targets that had Stealth before the initial attack.
This attack cannot be blocked, dodged, or counterattacked. Level Required: 68  t4 confidence 31.9%",Daken
passive,Ability 4,"Cut to Pieces  Attack primary and adjacent targets for 250% damage + apply 2 Bleed + reduce Speed Bar by 5%. Attack for 250% Piercing to any target with Safeguard instead.
Repeat this attack 2 additional times.

Flip 3 negative effects to positive effects for self and all MERCS FOR MONEY allies. Level Required: 70  t4 confidence 27.3%",Daken
basic,Ability 1,"A tough bruiser who delivers bonus attacks, chain attacks, and counterattacks.",Daredevil
special,Ability 2,"Assist/Counter Info Attack primary target for 205% damage + 17% Piercing damage.When forced to attack an ally, this character deals 25% damage to SHADOWLAND characters.",Daredevil
ultimate,Ability 3,"Strike Without Fear  Attack primary target for 270% damage + Bonus Attack for 200% damage.

When forced to attack an ally, this character deals less damage to DARING WARRIOR characters. Level Required: 65  t4 confidence 41.9%",Daredevil
passive,Ability 4,"Throw Baton  Attack primary target for 250% damage + Chain to 2 targets within 2 spaces of previous target for 200% damage.

Apply 2 Counter to self and all DEFENDER and DARING WARRIOR allies.

Dodge breaks this Chain. Level Required: 68  t4 confidence 29.7%",Daredevil
basic,Ability 1,"Reborn after almost dying fighting The Hand, Daredevil's new look comes with a new attitude. The Vigilante team's Protector, he heals his allies while taunting their enemies, all while wearing the colors of his late father, ""Battlin"" Jack Murdock.",DaredevilModern
special,Ability 2,"Assault n' Battery  Attack primary target for 280% damage + Rebound Chain to 2 adjacent targets for 280% damage.

Flip 3 negative effects to positive effects on self and all VIGILANTE allies. Level Required: 65  t4 confidence 63.4%",DaredevilModern
ultimate,Ability 3,"Law and Order  Apply Slow for 2 turns, Defense Down for 2 turns, and Offense Down for 2 turns to primary target.
Attack primary target for 300% damage.
Bonus Attack primary target for 300% damage.

Flip all negative effects into positive effects on self and all VIGILANTE allies.
Heal self and all VIGILANTE allies for 15% of this character's Max Health.

Gain Taunt for 2 turns and Defense Up for 2 turns. Level Required: 68  t4 confidence 55.4%",DaredevilModern
passive,Ability 4,"Witness Protection  Attack primary and adjacent targets for 380% damage + apply +1 Vulnerable, up to a maximum of 5.

Clear all negative effects from self and all allies.

Gain Taunt for 2 turns.

Apply Defense Up for 2 turns and Immunity for 2 turns to self and all VIGILANTE allies.
Heal self and all VIGILANTE allies for 20% of this character's Max Health. Level Required: 70  t4 confidence 57.7%",DaredevilModern
basic,Ability 1,"A twisted version of Hank McCoy from an alternate universe, Dark Beast aligned with Apocalypse to experiment on his fellow mutants, inflicting them with devastating negative Status Effects.",DarkBeast
special,Ability 2,"Assist/Counter Info Attack primary target for 199% damage + 17% Piercing + apply 2 Bleed, Offense Down for 2 turns, and Heal Block for 2 turns.",DarkBeast
ultimate,Ability 3,"Lethal Substance  Attack primary target and adjacent targets for 220% damage + apply 2 Bleed.

When this character performs a Counterattack or Assist, apply 2 Bleed, Offense Down for 2 turns, and Heal Block for 2 turns. Level Required: 65  t4 confidence 70.9%",DarkBeast
passive,Ability 4,"Mad Chemist  In RAIDS, Summon a Clone of the primary target. This Clone scales with Dark Beast's stats instead of the primary target. Clone gains Taunt for 1 turn + Defense Up for 2 turns.

Apply Defense Up for 2 turns to self and all DEATH SEED allies.
Call 2 random allies with the highest Damage to attack the primary target.

Revive a dead DEATH SEED ally with 50% Max Health.

In RAIDS, apply 2 Regeneration for 2 turns to self and all DEATH SEED allies. Level Required: 68  t4 confidence 56.3%",DarkBeast
basic,Ability 1,"After finding an alien amulet, Chris Powell joins the fight as the android Darkhawk, generating energy for his allies and slowing his enemies.",Darkhawk
special,Ability 2,"Steel Wing  Attack primary and adjacent targets for 310% damage + apply Offense Down for 2 turns.

Gain Offense Up.

This attack has +30% Extra Crit Chance.

When this character performs a Counterattack or Assist, gain Deflect. Level Required: 65  t4 confidence 30.7%",Darkhawk
ultimate,Ability 3,"Raptor Beam  Spread all negative effects, excluding Stun, from the primary target to all adjacent enemies.

Attack primary and adjacent targets for 300% damage + apply Disrupted for 2 turns and Defense Down for 2 turns.

Apply 2 Counter to self and all P.E.G.A.S.U.S. allies.

Apply Offense Up for 2 turns to self and adjacent TECH allies. Level Required: 68  t4 confidence 33.5%",Darkhawk
passive,Ability 4,"Dark Flurry  Gain +25% Damage per Offense Up on this character.

Attack all enemies for 340% damage.

Apply Offense Up for 2 turns to self and all allies.

In RAIDS:
 > Reduce Speed Bar for all enemies by 5% + 5% per P.E.G.A.S.U.S. ally.
 > Fill Speed Bar for this character and all P.E.G.A.S.U.S. allies by 5% + 5% per P.E.G.A.S.U.S. ally. Level Required: 70  t4 confidence 38.3%",Darkhawk
basic,Ability 1,"Laynia Petrovna uses her mutant powers over the Darkforce, to saturate her enemies in dark energy and siphon whats left of them to restore herself and her allies.",Darkstar
special,Ability 2,"Out of Darkness  Attack primary target for 80% Piercing damage + copy and clear 1 random positive effect, excluding Taunt.

Repeat this attack 2 more times.

If primary target still has Regeneration, apply Regeneration to self and all WINTER GUARD allies.

When this character performs an ISO-8 attack, Counterattack, or an Assist, the attack does no additional effects besides damage and deals an additional +30% Piercing per WINTER GUARD ally. Level Required: 65  t4 confidence 34.1%",Darkstar
ultimate,Ability 3,"Shadow Smite  Attack primary and adjacent targets for 150% Piercing + copy and clear all positive effects, excluding Taunt.

Steal 20% Health from primary target and redistribute 300% of stolen Health to self and all WINTER GUARD allies. This bypasses Heal Block.
In WAR, this attack will also steal 20% Health from adjacent targets. Level Required: 68  t4 confidence 39.1%",Darkstar
passive,Ability 4,"Darkforce Storm  Clear 2 negative effects from self and all WINTER GUARD allies.
Clear Barrier from all enemies.

Attack all enemies for 440% damage.

Apply Immunity and Offense Up to all WINTER GUARD allies.
Clear all Battlefield Effects on the allied side.
Enemies killed by this attack cannot be revived.

In WAR, if this character has 3 WINTER GUARD allies:
 > Steal 15% Health from all enemies and redistribute 300% of Health stolen to self and all WINTER GUARD allies.
 > Reduce the duration of all positive effects by 3 for all PROTECTOR enemies.
 > Clear 2 positive effects from all enemies + copy and clear Revive Once from all enemies.
 > Apply Safeguard for 2 turns to self and all WINTER GUARD allies.
 > This attack cannot be blocked or dodged. Level Required: 70  t4 confidence 44.4%",Darkstar
basic,Ability 1,"International pop diva and super hero, Dazzler's mutant power to convert sound into energy creates light shows that can captivate audiences or protect her fellow X-Men in battle.",Dazzler
special,Ability 2,"Assist/Counter Info In CRUCIBLE, flip Defense Up on the primary target.Attack primary target for 205% damage + 17% Piercing + apply Offense DownIn CRUCIBLE, on Crit, apply Blind to the primary target",Dazzler
ultimate,Ability 3,"Showtime  In CRUCIBLE, flip Defense Up on the primary target.

Attack primary target for 300% damage + apply Offense Down.
In CRUCIBLE, on Crit, apply Blind to the primary target.

This attack cannot be counterattacked. Level Required: 65  t4 confidence 55.6%",Dazzler
passive,Ability 4,"Dancing Queen  Attack primary target for 360% damage, apply Blind, and reduce Speed Bar by 25%.

Barrier self and UNLIMITED X-MEN allies for 30% of this character's Max Health.
In CRUCIBLE, apply 2 Regeneration to self and all UNLIMITED X-MEN allies.

This attack is Unavoidable and cannot be counterattacked. Level Required: 68  t4 confidence 55.3%",Dazzler
basic,Ability 1,A magical unicorn who specializes in stab-shooting vulnerable targets.,Deadpool
